augmentation_method,idx,Gloss level Korean Sign Language (GKSL) sentence,Word level Korean Language (WKL) sentence
SP,1088,이화여대 가다 목적 무엇 방법,이화여자대학교에 어떻게 가나요?
SP,1089,이화여대 찾다 목적 무엇 방법,이화여자대학교에 어떻게 가나요?
SP,1090,이화여대 곳 목적 곳 방법,이화여자대학교에 어떻게 가나요?
SP,1091,이화여대 길 목적 곳 방법,이화여자대학교에 어떻게 가나요?
SP,1092,이화여대 가다 목적 곳 방법,이화여자대학교에 어떻게 가나요?
SP,1093,이화여대 찾다 목적 곳 방법,이화여자대학교에 어떻게 가나요?
SP,1094,이화여대 곳 목적 길 방법,이화여자대학교에 어떻게 가나요?
SP,1095,이화여대 길 목적 길 방법,이화여자대학교에 어떻게 가나요?
SP,1096,이화여대 가다 목적 길 방법,이화여자대학교에 어떻게 가나요?
SP,1097,이화여대 찾다 목적 길 방법,이화여자대학교에 어떻게 가나요?
SP,1098,이화여대 곳 목적 길 무엇,이화여자대학교에 어떻게 가나요?
SP,1099,이화여대 길 목적 길 무엇,이화여자대학교에 어떻게 가나요?
SP,1100,사람 관계 중요,인간관계가 중요하다
SP,1101,인생 대하여 생각,삶에 대해 생각하다
SP,1102,사람 계산 잘못하다,인원수가 일치하지 않습니다.
SP,1103,인천  항공  장소  가다  방법,인천공항까지 어떻게 가나요?
SP,1104,일 너무 느리다,너무 느리게 일하다
SP,1105,일본  먹다  어디  곳,일식당이 어디있나요?
SP,1106,일본  먹다  곳  어디,일식당이 어디있나요?
SP,1107,일본  먹다  어디,일식당이 어디있나요?
SP,1108,일본  먹다  곳,일식당이 어디있나요?
SP,1109,일 끝 집 가다,나는 일을 끝내고 집에 갔다.
SP,1110,일 복수 힘들다,동시에 일하기 힘들다
SP,1111,일 끝 쉬다 원하다,빨리 일 끝내고 쉬고싶다
SP,1112,일 두 가지 일이 겹치다 바쁘다,나는 많은 일로 너무 바쁩니다.
SP,1113,일 어렵다,일이 어렵다
SP,1114,핸드폰 잃어버리다 찾다,잃어버린 전화를 찾으십시오.
SP,1115,입 모습 읽다 어렵다,입 모양을 제대로 읽지 못해서 어려웠다.
SP,1116,옷 없다 어떻게,입을 옷이 없어요
SP,1117,있다,있다.
SP,1118,차 타다,차를 타다
SP,1119,나 여행 자유 원하다,자유롭게 여행하고 싶다
SP,1120,자유 못하다 가두다 답답하다,자유롭지 못해서 답답하다
SP,1121,자유 살다,자유를 즐기다
SP,1122,나 자유 느끼다 원하다,나는 자유롭고 싶다
SP,1123,자전거 있다,나는 자전거를 가지고 있다.
SP,1124,자전거 있다,자전거가 있습니까?
SP,1125,자판기 어디 길,자판기는 어디에 있습니까?
SP,1126,자판기 길 무엇,자판기는 어디에 있습니까?
SP,1127,자판기 길 곳,자판기는 어디에 있습니까?
SP,1128,자판기 곳 길,자판기는 어디에 있습니까?
SP,1129,자판기 길,자판기는 어디에 있습니까?
SP,1130,자판기 곳 무엇,자판기는 어디에 있습니까?
SP,1131,작다,작은
SP,1132,잠깐 기다리다,기다리세요.
SP,1133,잠깐 기다리다 괜찮다,잠시만 기다려 주시겠습니까?
SP,1134,잠깐  기다리다  부탁,기다리세요.
SP,1135,잠실대교 가다,잠실대교로 건너갈까요?
SP,1136,잠실대교 가다,잠실대교로 건너주세요.
SP,1137,놀다 물건 가지다 놀다,장난감으로 놀다
SP,1138,표지판 보다 찾다,저 표지판을 따라가시면 됩니다.
SP,1139,신호등 곳 차내리다,저기 신호등 앞에서 멈춰주세요.
SP,1140,저기 방 안에 사람 있다,거기에 누군가가있다
SP,1141,나,나?
SP,1142,점심 먹다 아니다 배고프다 아니다 이상하다,이상하게도 점심을 거르는데도 배가 고프지 않았다.
SP,1143,한달 누적사용 내역 보여주다,정기권 사용 이력을 보여주시겠습니까?
SP,1144,한달 누적사용 내역 보다 원하다,정기권의 사용 이력을 알고 싶습니다.
SP,1145,지하철 정기권 사다 무엇 곳,정기권은 어디에서 구입할 수 있습니까?
SP,1146,지하철 정기권 사다 원하다,정기권을 사고 싶습니다.
SP,1147,맞다 반갑다,만나서 반가워요
SP,1148,미안  정보  찾다  없다,정보가 없습니다.
SP,1149,주차  1번  어디  곳,제1주차장은 어디인가요?
SP,1150,주차  1번  곳  어디,제1주차장은 어디인가요?
SP,1151,주차  1번  어디,제1주차장은 어디인가요?
SP,1152,주차  1번  곳,제1주차장은 어디인가요?
SP,1153,주차  2번  어디  곳,제2주차장은 어디인가요?
SP,1154,주차  2번  곳  어디,제2주차장은 어디인가요?
SP,1155,주차  2번  어디,제2주차장은 어디인가요?
SP,1156,주차  2번  곳,제2주차장은 어디인가요?
SP,1157,경찰 부르다,경찰에 전화했어요.
SP,1158,시간 급하다,나는 매우 급하다.
SP,1159,약속 늦다,약속 시간에 늦었어요.
SP,1160,역무원 부르다,나는 역무원에게 전화를 걸었다.
SP,1161,역무원 부르다 나,나는 역무원에게 전화를 걸었다.
SP,1162,급하다,좀 급해요.
SP,1163,택시 문자보내다 맞다,나는 택시를 불렀다.
SP,1164,도착 시간 딱,정시에 도착할 것인가?
SP,1165,제주  홍보  어디  곳,제주홍보관은 어디에 있나요?
SP,1166,제주  홍보  곳  어디,제주홍보관은 어디에 있나요?
SP,1167,제주  홍보  어디,제주홍보관은 어디에 있나요?
SP,1168,제주  홍보  곳,제주홍보관은 어디에 있나요?
SP,1169,조심,조심 해요.
SP,1170,종로 곳 가다 무엇,종로에 어떻게 가나요?
SP,1171,종로 찾다 가다 무엇,종로에 어떻게 가나요?
SP,1172,종로 목적 가다 무엇,종로에 어떻게 가나요?
SP,1173,종로 곳 가다 방법,종로에 어떻게 가나요?
SP,1174,종로 찾다 가다 방법,종로에 어떻게 가나요?
SP,1175,종로 목적 가다 방법,종로에 어떻게 가나요?
SP,1176,종로 곳 가다 방법 무엇,종로에 어떻게 가나요?
SP,1177,종로 찾다 가다 방법 무엇,종로에 어떻게 가나요?
SP,1178,종로 목적 가다 방법 무엇,종로에 어떻게 가나요?
SP,1179,종로 곳 가다 무엇 방법,종로에 어떻게 가나요?
SP,1180,종로 찾다 가다 무엇 방법,종로에 어떻게 가나요?
SP,1181,종로 목적 가다 무엇 방법,종로에 어떻게 가나요?
SP,1182,종로 곳 가다 곳 방법,종로에 어떻게 가나요?
SP,1183,종로 찾다 가다 곳 방법,종로에 어떻게 가나요?
SP,1184,종로 곳 가다 길 방법,종로에 어떻게 가나요?
SP,1185,종로 찾다 가다 길 방법,종로에 어떻게 가나요?
SP,1186,종로 목적 가다 길 방법,종로에 어떻게 가나요?
SP,1187,종로 곳 가다 길 무엇,종로에 어떻게 가나요?
SP,1188,종로 곳 가다 원하다 길 무엇,종로에 어떻게 가나요?
SP,1189,종로 가다 방법,종로역까지 어떻게 가나요?
SP,1190,종로 가다,종로역.
SP,1191,좋다,좋은
SP,1192,좋다,좋은.
SP,1193,좋다 일 있다 아마,좋은 일이 생길거야
SP,1194,좌회전 맞다,좌회전 하시나요?
SP,1195,좌회전 확인 맞다,좌회전 하시나요?
SP,1196,미안 다시 일 생기다 아니다 주의,죄송합니다. 다시는 이런 일이 발생하지 않도록 하겠습니다.
SP,1197,신분증,주민등록증이 있습니까?
SP,1198,군청 곳 다음 내리다,커뮤니티 센터를 지나쳐 내려드릴까요?
SP,1199,군청 곳 다음 차내리다,커뮤니티 센터를 지나쳐 내려드릴까요?
SP,1200,군청 곳 다음 곳,커뮤니티 센터를 지나쳐 내려드릴까요?
SP,1201,군청 곳 다음 도착 내리다,커뮤니티 센터를 지나쳐 내려드릴까요?
SP,1202,군청 곳 다음 도착 차내리다,커뮤니티 센터를 지나쳐 내려드릴까요?
SP,1203,군청 곳 다음 여기,커뮤니티 센터를 지나쳐 내려드릴까요?
SP,1204,물건 깔리다 몸 움직 불가능,주변 구조물이 무너져 갇혔습니다. 나는 내 몸을 움직일 수 없습니다.
SP,1205,차  맡기다  어디  곳,발렛 차량은 어디에서 찾을 수 있나요?
SP,1206,차  맡기다  곳  어디,발렛 차량은 어디에서 찾을 수 있나요?
SP,1207,차  맡기다  어디,발렛 차량은 어디에서 찾을 수 있나요?
SP,1208,차  맡기다  곳,발렛 차량은 어디에서 찾을 수 있나요?
SP,1209,주차  미리  돈주다  가능,주차료를 정산할 수 있습니까?
SP,1210,중국  먹다  어디  곳,중국집은 어디에 있나요?
SP,1211,중국  먹다  곳  어디,중국집은 어디에 있나요?
SP,1212,중국  먹다  어디,중국집은 어디에 있나요?
SP,1213,중국  먹다  곳,중국집은 어디에 있나요?
SP,1214,중요 잊다 하지마,중요하니까 잊지마
SP,1215,약속 중요 있다 나 먼저 가다,중요한 약속이 있어서 먼저 갈게.
SP,1216,여행  편안  반갑다  부탁,즐거운 여행 되시기 바랍니다.
SP,1217,지갑 잃어버리다,지갑을 잃어 버렸다.
SP,1218,지갑 잃어버리다 없다,지갑을 잃어 버렸다.
SP,1219,지갑 실종,지갑을 잃어 버렸다.
SP,1220,지갑 실종 없다,지갑을 잃어 버렸다.
SP,1221,지갑 찾다 실종,지갑을 잃어 버렸다.
SP,1222,지갑 사라지다 실종,지갑을 잃어 버렸다.
SP,1223,지갑 잃어버리다 실종,지갑을 잃어 버렸다.
SP,1224,지갑 실종 잃어버리다,지갑을 잃어 버렸다.
SP,1225,지금 맞다,지금 내려줄까요?
SP,1226,지금 내리다 맞다,지금 내려줄까요?
SP,1227,지금 차내리다 맞다,지금 내려줄까요?
SP,1228,오늘 사랑 받다 중에 행복,지금 사랑받고 있어 행복해
SP,1229,지금 카드 충전,이제 카드를 충전하겠습니다.
SP,1230,지금 카드 충전 가능,지금 카드를 충전할 수 있습니까?
SP,1231,지금 시작 해라,지금 시작
SP,1232,길 지도 보다 찾다 가능,지도를 보고 찾을 수 있습니까?
SP,1233,지름길 내리다 가다,지름길로 가볼까요?
SP,1234,지름길 차내리다 가다,지름길로 가볼까요?
SP,1235,지름길 도착 가다,지름길로 가볼까요?
SP,1236,지름길 목적 가다,지름길로 가볼까요?
SP,1237,지름길 곳 가다,지름길로 가볼까요?
SP,1238,지름길 가다 내리다,지름길로 가볼까요?
SP,1239,지름길 가다 차내리다,지름길로 가볼까요?
SP,1240,지하철 곳 안내하다,지하철 환승 구역으로 안내해 주시겠습니까?
SP,1241,지하철 안 불 피해 심하다,지하철역 내부에 화재가 발생했습니다.
SP,1242,지하철 문 틈 물건 떨어지다,지하철 틈 사이로 물건이 떨어졌다.
SP,1243,지하철 문 틈 이어폰 떨어지다,이어폰이 지하철 틈으로 떨어졌다.
SP,1244,지하철 문 틈 핸드폰 떨어지다,전화기는 지하철 틈으로 떨어졌다.
SP,1245,지하철 가방 위로올리다 까먹다,나는 지하철에 가방을 두고 내렸다.
SP,1246,지하철 곳 다음 내리다,지하철역을 지나서 내리시기 바랍니다.
SP,1247,지하철 곳 다음 차내리다,지하철역을 지나서 내리시기 바랍니다.
SP,1248,지하철 곳 다음 곳,지하철역을 지나서 내리시기 바랍니다.
SP,1249,지하철 곳 다음 도착 내리다,지하철역을 지나서 내리시기 바랍니다.
SP,1250,지하철 곳 다음 도착 차내리다,지하철역을 지나서 내리시기 바랍니다.
SP,1251,지하철 곳 다음 여기,지하철역을 지나서 내리시기 바랍니다.
SP,1252,진짜 미안,정말 죄송합니다
SP,1253,짐 없다,짐이 있나요?
SP,1254,짐 없다,수하물이 없습니다.
SP,1255,짐 있다,짐이 있어요.
SP,1256,짐 있다,수하물이 있습니까?
SP,1257,집 벽 넘어지다,집의 벽이 무너지려고 합니다.
SP,1258,집 계시다 누구,집에 누가 있어
SP,1259,집 도둑 넘어오다,도둑이 집에 들어왔습니다.
SP,1260,집 낯선 넘어오다,모르는 사람이 집에 침입했습니다.
SP,1261,집 가다 엄마 계시다 아니다,"내가 집에 도착했을 때, 어머니는 거기에 없었다."
SP,1262,집 전기 그치다,집에 전기가 나갔습니다.
SP,1263,집 너무 더럽다 청소 보람 불가능,집이 너무 더러워서 청소해도 소용없다
SP,1264,집 크다 놀라다,집이 커서 놀랐어요.
SP,1265,집 흔들리다,집이 흔들리고 있다.
SP,1266,짜장 먹다 가다,짜장면 먹으러 가자
SP,1267,유리 올리다,창문을 닫겠습니다.
SP,1268,차 유리 올리다,창문을 닫겠습니다.
SP,1269,차 올리다,창문을 닫겠습니다.
SP,1270,올리다,창문을 닫겠습니다.
SP,1271,유리 내리다,창문을 좀 열겠습니다.
SP,1272,차 유리 내리다,창문을 좀 열겠습니다.
SP,1273,차 내리다,창문을 좀 열겠습니다.
SP,1274,내리다,창문을 좀 열겠습니다.
SP,1275,찾다,찾기
SP,1276,처음 가다 먹다 괜찮다,처음 갔을 때 음식 맛이 괜찮았습니다.
SP,1277,천안아산역 가다,천안아산역으로 가세요.
SP,1278,천안아산역 내리다,천안아산역으로 가세요.
SP,1279,천안아산역 차내리다,천안아산역으로 가세요.
SP,1280,운전 천천히,천천히 가주세요
SP,1281,천호 지하철 8호 갈아타다,저는 천호역에서 8호선으로 갈아타려고 합니다.
SP,1282,천호 지하철 8호 갈아타다 방법,천호역에서 8호선으로 갈아타려면 어디로 갑니까?
SP,1283,철수 오늘 학교 장소 1등 하다,철수가 이번에 학교에서 1등을 했다.
SP,1284,첫차 시간,첫 열차는 몇 시입니까?
SP,1285,청소 귀찮다,청소하기 귀찮다
SP,1286,초밥 먹다 위하다 일본 가다,스시를 먹으러 일본에 갔다
SP,1287,지하철 지하위 곳곳,출구는 어디입니까?
SP,1288,춥다,추운
SP,1289,닭 먹다 원하다,치킨 먹고싶다
SP,1290,친구 전기 몸 자극 ,친구가 감전을 당했습니다.
SP,1291,친구 쉼쉬다 안되다,친구가 숨을 쉬지 않는 것 같아요.
SP,1292,친구 먹다 중간 흰 네모 자르다 먹다 실수,친구가 먹다가 실수로 방부제를 먹었어요.
SP,1293,친구 심심하다 시간 나 부르다,친구는 심심할 때 전화한다
SP,1294,친구 놀다 저녁 되다,친구들과 놀고 나니 벌써 저녁 시간이 되었다.
SP,1295,친구 만나다 끝,친구를 만났다
SP,1296,친하다 애인 가능,친한 친구가 연인이 될 수 있다
SP,1297,칭찬 듣다 기분 좋다,칭찬을 들으면 기분이 좋다
SP,1298,카드,카드로 결제할 수 있나요?
SP,1299,카드 되다,카드로 결제할 수 있나요?
SP,1300,카드 가능,카드로 결제할 수 있나요?
SP,1301,단말기터치 불량,카드가 인식되지 않습니까?
SP,1302,단말기터치 고장,카드가 인식되지 않습니까?
SP,1303,단말기터치 안되다,카드가 인식되지 않습니까?
SP,1304,단말기터치 잘 안되다,카드가 인식되지 않습니까?
SP,1305,단말기터치 사용 안되다,카드가 인식되지 않습니까?
SP,1306,단말기터치 사용 불가능,카드가 인식되지 않습니까?
SP,1307,단말기터치 불량 죽다,카드가 인식되지 않습니까?
SP,1308,단말기터치 고장 죽다,카드가 인식되지 않습니까?
SP,1309,단말기터치 안되다 죽다,카드가 인식되지 않습니까?
SP,1310,단말기터치 잘 안되다 죽다,카드가 인식되지 않습니까?
SP,1311,카드 사용 안되다 고장,카드가 인식되지 않습니까?
SP,1312,카드 사용 불가능 고장,카드가 인식되지 않습니까?
SP,1313,카드 불량 안되다,카드가 인식되지 않습니까?
SP,1314,카드 고장 안되다,카드가 인식되지 않습니까?
SP,1315,카드 사용 불가능 안되다,카드가 인식되지 않습니까?
SP,1316,카드 불량 잘 안되다,카드가 인식되지 않습니까?
SP,1317,카드 고장 잘 안되다,카드가 인식되지 않습니까?
SP,1318,카드 사용 잘 안되다,카드가 인식되지 않습니까?
SP,1319,카드 불량 사용 안되다,카드가 인식되지 않습니까?
SP,1320,카드 고장 사용 안되다,카드가 인식되지 않습니까?
SP,1321,단말기터치 사용 안되다 고장,카드가 인식되지 않습니다.
SP,1322,단말기터치 사용 불가능 고장,카드가 인식되지 않습니다.
SP,1323,단말기터치 불량 안되다,카드가 인식되지 않습니다.
SP,1324,단말기터치 고장 안되다,카드가 인식되지 않습니다.
SP,1325,단말기터치 사용 불가능 안되다,카드가 인식되지 않습니다.
SP,1326,단말기터치 불량 잘 안되다,카드가 인식되지 않습니다.
SP,1327,단말기터치 고장 잘 안되다,카드가 인식되지 않습니다.
SP,1328,단말기터치 사용 잘 안되다,카드가 인식되지 않습니다.
SP,1329,단말기터치 불량 사용 안되다,카드가 인식되지 않습니다.
SP,1330,단말기터치 고장 사용 안되다,카드가 인식되지 않습니다.
SP,1331,카드 사용 안되다 고장,카드가 인식되지 않습니다.
SP,1332,카드 사용 불가능 고장,카드가 인식되지 않습니다.
SP,1333,카드 불량 안되다,카드가 인식되지 않습니다.
SP,1334,카드 고장 안되다,카드가 인식되지 않습니다.
SP,1335,카드 사용 불가능 안되다,카드가 인식되지 않습니다.
SP,1336,카드 불량 잘 안되다,카드가 인식되지 않습니다.
SP,1337,카드 고장 잘 안되다,카드가 인식되지 않습니다.
SP,1338,카드 사용 잘 안되다,카드가 인식되지 않습니다.
SP,1339,카드 불량 사용 안되다,카드가 인식되지 않습니다.
SP,1340,카드 고장 사용 안되다,카드가 인식되지 않습니다.
SP,1341,카드 되다,카드를 받을 수 있습니까?
SP,1342,비행기  안  카메라  가지다  가능,카메라를 기내에 반입할 수 있습니까?
SP,1343,카메라  비행기  안  가지다  가능,카메라를 기내에 반입할 수 있습니까?
SP,1344,사진기 잃어버리다,카메라를 잃어버렸어요.
SP,1345,사진기 없다 잃어버리다,카메라를 잃어버렸어요.
SP,1346,사진기 실종,카메라를 잃어버렸어요.
SP,1347,사진기 없다 실종,카메라를 잃어버렸어요.
SP,1348,사진기 찾다 실종,카메라를 잃어버렸어요.
SP,1349,사진기 사라지다 실종,카메라를 잃어버렸어요.
SP,1350,사진기 잃어버리다 실종,카메라를 잃어버렸어요.
SP,1351,사진기 실종 잃어버리다,카메라를 잃어버렸어요.
SP,1352,카메라  짐  맡기다  가능,카메라를 위탁 수하물로 보낼 수 있습니까?
SP,1353,비행기  안  칼  가지다  가능,칼을 가지고 탈 수 있습니까?
SP,1354,칼  비행기  안  가지다  가능,칼을 가지고 탈 수 있습니까?
SP,1355,칼  짐  맡기다  가능,칼을 위탁 수하물로 보낼 수 있습니까?
SP,1356,비행기  안  캠코더  가지다  가능,캠코더를 기내에 반입할 수 있습니까?
SP,1357,캠코더  비행기  안  가지다  가능,캠코더를 기내에 반입할 수 있습니까?
SP,1358,캠코더  짐  맡기다  가능,캠코더를 위탁 수하물로 보낼 수 있습니까?
SP,1359,미래 의사 원하다,나는 커서 의사가 되고 싶다
SP,1360,물건  검사  두다  어디  곳,코인 로커는 어디에 있습니까?
SP,1361,물건  검사  두다  곳  어디,코인 로커는 어디에 있습니까?
SP,1362,물건  검사  두다  어디,코인 로커는 어디에 있습니까?
SP,1363,물건  검사  두다  곳,코인 로커는 어디에 있습니까?
SP,1364,크다,큰
SP,1365,키 작다 힘 세다,키는 작지만 강하다.
SP,1366,타다 곳 맞다,타는 곳 맞나요?
SP,1367,항공  가다  검사  어디  곳,어디에서 체크인할 수 있나요?
SP,1368,항공  가다  검사  곳  어디,어디에서 체크인할 수 있나요?
SP,1369,항공  가다  검사  어디,어디에서 체크인할 수 있나요?
SP,1370,항공  가다  검사  곳,어디에서 체크인할 수 있나요?
SP,1371,탑승,어디에서 체크인할 수 있나요?
SP,1372,터널 다음 내리다,터널을 지나 하차합니다.
SP,1373,터널 다음 차내리다,터널을 지나 하차합니다.
SP,1374,터널 다음 곳,터널을 지나 하차합니다.
SP,1375,터널 다음 도착 내리다,터널을 지나 하차합니다.
SP,1376,터널 다음 도착 차내리다,터널을 지나 하차합니다.
SP,1377,터널 다음 여기,터널을 지나 하차합니다.
SP,1378,동굴 무너지다 감히다,터널이 무너져 갇혔습니다.
SP,1379,토요일 -때 쉬다 원하다,나는 토요일에 쉬고 싶다
SP,1380,뒤 트렁크닫다,트렁크를 닫아주세요.
SP,1381,차 트렁크열다,트렁크를 열어주세요.
SP,1382,뒤 트렁크열다,트렁크를 열어주세요.
SP,1383,엉덩이 트렁크열다,트렁크를 열어주세요.
SP,1384,뒤 들어올리다,트렁크를 열어주세요.
SP,1385,뒤 엉덩이 들어올리다,트렁크를 열어주세요.
SP,1386,차 뒤 트렁크열다,트렁크를 열어주세요.
SP,1387,차 엉덩이 트렁크열다,트렁크를 열어주세요.
SP,1388,차 뒤 들어올리다,트렁크를 열어주세요.
SP,1389,차 뒤 엉덩이 들어올리다,트렁크를 열어주세요.
SP,1390,트렁크열다 물건 나르다,제 짐을 트렁크에 넣는 것을 도와주세요.
SP,1391,짐 차 트렁크열다 나르다,짐은 트렁크에 넣어둘게요.
SP,1392,짐 차 트렁크열다 나르다,짐을 트렁크에 넣을까요?
SP,1393,틀리다,잘못된.
SP,1394,파리바게트 다음 곳 도착 차내리다,파리바게뜨 지나서 내려주세요.
SP,1395,파리바게트 다음 곳 저기,파리바게뜨 지나서 내려주세요.
SP,1396,파리바게트 다음 저기 내리다,파리바게뜨 지나서 내려주세요.
SP,1397,파리바게트 다음 저기 차내리다,파리바게뜨 지나서 내려주세요.
SP,1398,파리바게트 다음 저기 곳,파리바게뜨 지나서 내려주세요.
SP,1399,파리바게트 다음 저기 도착 내리다,파리바게뜨 지나서 내려주세요.
SP,1400,파리바게트 다음 저기 도착 차내리다,파리바게뜨 지나서 내려주세요.
SP,1401,파리바게트 다음 저기 곳 내리다,파리바게뜨 지나서 내려주세요.
SP,1402,파리바게트 다음 저기 곳 차내리다,파리바게뜨 지나서 내려주세요.
SP,1403,파리바게트 다음 저기 곳 도착 내리다,파리바게뜨 지나서 내려주세요.
SP,1404,파리바게트 다음 저기 곳 도착 차내리다,파리바게뜨 지나서 내려주세요.
SP,1405,편의점 무엇,편의점은 어디에 있습니까?
SP,1406,편의점 곳,편의점은 어디에 있습니까?
SP,1407,편의점 곳 무엇,편의점은 어디에 있습니까?
SP,1408,편의점 곳곳,편의점은 어디에 있습니까?
SP,1409,편의점 무엇 곳,편의점은 어디에 있습니까?
SP,1410,편의점 뼈곳,편의점은 어디에 있습니까?
SP,1411,보통 느끼다 대하여 말하다,평소에 어떻게 느끼는지 말해줘
SP,1412,포기,포기하다
SP,1413,포기 원하다,나는 포기하고 싶다
SP,1414,포기 마음 크다 그렇지만 참다 필요,포기하고 싶은 마음이 강하지만 참아야 합니다.
SP,1415,포기 안되다,포기하지마
SP,1416,폭발,폭탄이 터졌습니다.
SP,1417,필요없다,필요 없음.
SP,1418,필요없다,필요하지 않습니까?
SP,1419,필요,필요해?
SP,1420,하늘 보다 마음 편하다,하늘을 보면 마음이 편해집니다
SP,1421,학교 보다 차내리다,학교에 들러주세요.
SP,1422,학교 주차,나는 학교에 차를 주차할 것이다.
SP,1423,학교 주차 되다,학교에 차를 주차할 수 있나요?
SP,1424,학생 맡다 무엇 공부,학생들은 공부해야 한다
SP,1425,하나 물어보다,한 가지만 더 여쭤보겠습니다
SP,1426,한국  먹다  어디  곳,한식당은 어디에 있나요?
SP,1427,한국  먹다  곳  어디,한식당은 어디에 있나요?
SP,1428,한국  먹다  어디,한식당은 어디에 있나요?
SP,1429,한국  먹다  곳,한식당은 어디에 있나요?
SP,1430,항공  쉬다  서비스  어디  곳,항공사 라운지는 어디인가요?
SP,1431,항공  쉬다  서비스  곳  어디,항공사 라운지는 어디인가요?
SP,1432,항공  쉬다  서비스  어디,항공사 라운지는 어디인가요?
SP,1433,항공  쉬다  서비스  곳,항공사 라운지는 어디인가요?
SP,1434,바다 가깝다 곳 상어 오다,해안에 상어가 나타났습니다.
SP,1435,바다 가깝다 곳 해파리 오다,해파리가 해안에 나타났습니다.
SP,1436,해파리 팔 주사,나는 해파리에 쏘였다.
SP,1437,비행기  안  핸드폰  충전  네모  가지다  가능,휴대전화 보조 배터리를 기내에 반입할 수 있습니까?
SP,1438,핸드폰  충전  네모  비행기  안  가지다  가능,휴대전화 보조 배터리를 기내에 반입할 수 있습니까?
SP,1439,핸드폰  충전  네모  짐  맡기다  가능,휴대전화 보조 배터리를 위탁 수하물로 보낼 수 있습니까?
SP,1440,허리 아프다 일어서다 불가능,허리가 아파서 못 일어납니다.
SP,1441,요즘 사람 모두 바쁘다 살다 중에,현대인은 바쁘다
SP,1442,지금 그녀 건강 너무 좋다,지금 그녀의 건강은 매우 좋습니다.
SP,1443,화나다,화났어?
SP,1444,화장실 가다 짐 맡다 부탁,화장실에 갈 테니까 잠시 짐 좀 들어주세요.
SP,1445,화장실  어디  곳,화장실이 어디예요?
SP,1446,화장실  곳  어디,화장실이 어디예요?
SP,1447,화장실  어디,화장실이 어디예요?
SP,1448,화장실  곳,화장실이 어디예요?
SP,1449,확인 가능,확인 할수 있어요?
SP,1450,확인,내가 확인 할게요.
SP,1451,회의실 무엇,회의실은 어디에 있습니까?
SP,1452,회의실 곳,회의실은 어디에 있습니까?
SP,1453,회의실 곳 무엇,회의실은 어디에 있습니까?
SP,1454,회의실 곳곳,회의실은 어디에 있습니까?
SP,1455,회의실 무엇 곳,회의실은 어디에 있습니까?
SP,1456,신호등 횡단보도 여기,횡단보도를 건너?
SP,1457,수레  빌리다  어디  곳,휠체어 대여소는 어디에 있습니까?
SP,1458,수레  빌리다  곳  어디,휠체어 대여소는 어디에 있습니까?
SP,1459,수레  빌리다  어디,휠체어 대여소는 어디에 있습니까?
SP,1460,수레  빌리다  곳,휠체어 대여소는 어디에 있습니까?
SP,1461,휠체어  빌리다  어디  곳,휠체어 대여소는 어디에 있습니까?
SP,1462,휠체어  빌리다  곳  어디,휠체어 대여소는 어디에 있습니까?
SP,1463,휠체어  빌리다  어디,휠체어 대여소는 어디에 있습니까?
SP,1464,휠체어  빌리다  곳,휠체어 대여소는 어디에 있습니까?
SP,1465,핸드폰 번호 필요,휴대폰 번호를 알려주실 수 있나요?
SP,1466,핸드폰 잃어버리다,휴대폰을 잃어버렸어요.
SP,1467,핸드폰 없다 잃어버리다,휴대폰을 잃어버렸어요.
SP,1468,핸드폰 실종,휴대폰을 잃어버렸어요.
SP,1469,핸드폰 없다 실종,휴대폰을 잃어버렸어요.
SP,1470,핸드폰 찾다 실종,휴대폰을 잃어버렸어요.
SP,1471,핸드폰 사라지다 실종,휴대폰을 잃어버렸어요.
SP,1472,핸드폰 잃어버리다 실종,휴대폰을 잃어버렸어요.
SP,1473,핸드폰 실종 잃어버리다,휴대폰을 잃어버렸어요.
SP,1474,핸드폰  충전  어디  곳,어디에서 휴대폰을 충전할 수 있나요?
SP,1475,핸드폰  충전  곳  어디,어디에서 휴대폰을 충전할 수 있나요?
SP,1476,핸드폰  충전  어디,어디에서 휴대폰을 충전할 수 있나요?
SP,1477,핸드폰  충전  곳,어디에서 휴대폰을 충전할 수 있나요?
SP,1478,쉬다 날 때문에 공원 장소 사람 많다,휴일이라 공원에 사람이 많다.
SP,1479,난방 켜다,히터를 켜주세요.
SP,1480,난방,히터를 켜주세요.
SP,1481,따뜻하다 켜다,히터를 켜주세요.
SP,1482,난방 사용 안되다 불가능,히터가 작동하지 않습니다.
SP,1483,난방 불량 사용 불가능,히터가 작동하지 않습니다.
SP,1484,난방 고장 사용 불가능,히터가 작동하지 않습니다.
SP,1485,난방 안되다 사용 불가능,히터가 작동하지 않습니다.
SP,1486,난방 잘 안되다 사용 불가능,히터가 작동하지 않습니다.
SP,1487,난방 끄다,히터를 끌까요?
SP,1488,따뜻하다 끄다,히터를 끌까요?
SP,1489,따뜻하다 그만,히터를 끌까요?
SP,1490,힘들다,힘드시죠?
SP,1491,힘들다 위로 힘,힘들 때 위로 받으면 강해진다
SP,1492,힘들다 그렇지만  참다 필요,힘들어도 참아야지
SP,1493,힘들다 쉬다 원하다,피곤하고 쉬고싶다
SP,1494,힘들다,어렵다
BR,1,몸 불,몸에 불이 났어요.
BR,2,학교 불,학교에 불이 났어요.
BR,3,눈 불,눈에 불이 났어요.
